"id","gender","item1","item2","item3","item4","item5","item6","item7","item8"
1,"m",0,1,1,1,1,0,1,0
2,"m",1,1,1,1,1,1,0,1
3,"m",0,0,0,1,1,0,1,1
4,"m",1,1,1,1,1,0,1,1
5,"m",0,0,1,1,0,0,0,0
6,"m",1,1,1,0,1,0,1,0
7,"m",0,0,1,0,0,0,0,1
8,"m",0,0,0,0,1,0,0,0
9,"m",0,0,1,1,0,0,0,0
10,"m",0,0,1,1,0,0,1,1
11,"m",1,1,1,1,1,0,1,1
12,"m",0,0,1,0,1,0,0,0
13,"m",0,1,0,1,1,0,1,1
14,"m",0,0,1,0,0,1,0,0
15,"m",1,1,1,1,0,0,1,1
16,"m",0,1,0,1,1,0,1,1
17,"m",1,1,1,1,0,0,1,0
18,"m",0,0,0,1,1,0,0,0
19,"m",1,1,1,1,0,0,0,0
20,"m",1,1,1,1,1,1,1,1
21,"m",0,1,0,1,0,1,0,0
22,"m",0,0,0,1,0,0,1,1
23,"m",1,1,1,1,1,0,1,1
24,"m",0,1,1,1,0,0,0,1
25,"m",0,1,0,1,0,0,1,0
26,"m",0,0,0,0,0,0,0,0
27,"m",0,0,0,0,0,1,1,1
28,"m",0,0,0,1,0,0,0,0
29,"m",0,0,0,0,0,0,1,0
30,"m",0,0,1,1,0,0,0,0
31,"m",1,1,1,1,1,0,1,1
32,"m",0,0,0,1,1,0,1,1
33,"m",1,1,1,1,1,1,1,1
34,"m",0,1,0,1,0,1,1,1
35,"m",0,0,0,1,1,0,1,1
36,"m",0,0,1,1,0,0,1,1
37,"m",0,1,0,1,1,0,1,0
38,"m",0,1,0,1,0,0,1,1
39,"m",1,0,0,1,1,0,1,1
40,"m",1,1,1,1,1,0,1,1
41,"m",0,1,1,1,1,0,0,1
42,"m",0,0,0,1,1,1,0,1
43,"m",0,1,0,1,0,0,1,1
44,"m",1,0,1,1,1,1,1,1
45,"m",1,1,1,0,1,0,1,1
46,"m",0,0,1,1,0,0,0,1
47,"m",0,0,1,0,0,0,1,0
48,"m",0,0,1,1,0,0,1,1
49,"m",0,0,0,1,1,0,1,1
50,"m",0,1,1,1,1,0,0,1
51,"m",0,0,1,1,1,1,1,0
52,"m",0,1,1,1,1,0,1,1
53,"m",0,0,0,1,0,0,0,0
54,"m",0,1,1,1,0,0,0,1
55,"m",0,0,0,1,0,0,1,0
56,"m",0,0,0,1,0,0,0,0
57,"m",0,1,1,1,1,0,1,0
58,"m",0,1,0,1,0,0,1,0
59,"m",0,1,1,1,1,0,1,1
60,"m",0,1,1,1,0,0,1,0
61,"m",0,0,0,1,0,0,0,0
62,"m",0,0,0,0,1,0,0,0
63,"m",0,0,0,1,0,0,0,1
64,"m",1,1,1,1,1,1,1,1
65,"m",0,1,0,1,0,1,1,0
66,"m",0,0,1,1,1,1,1,1
67,"m",1,0,1,1,0,0,1,1
68,"m",1,1,0,0,0,1,0,1
69,"m",1,1,1,1,1,0,1,1
70,"m",0,1,0,1,1,0,0,0
71,"m",0,1,1,1,0,0,0,1
72,"m",0,1,0,1,0,0,1,0
73,"m",1,1,1,1,1,0,1,1
74,"m",1,1,1,0,0,1,1,0
75,"m",0,1,0,0,1,0,0,1
76,"m",0,1,0,1,0,0,0,1
77,"m",1,0,1,1,0,0,0,1
78,"m",0,0,0,1,0,0,0,0
79,"m",0,0,0,0,0,0,0,0
80,"m",0,0,0,1,0,1,0,1
81,"m",1,1,1,1,1,0,1,1
82,"m",1,0,0,1,1,1,1,1
83,"m",1,1,0,1,0,0,0,0
84,"m",0,0,0,1,0,0,0,0
85,"m",0,0,0,1,0,1,0,1
86,"m",0,1,1,1,1,0,1,1
87,"m",0,0,0,1,1,0,1,1
88,"m",0,1,1,1,1,0,0,1
89,"m",0,0,1,1,1,0,1,1
90,"m",0,0,1,1,0,0,1,1
91,"m",1,1,1,0,1,0,1,0
92,"m",1,0,0,1,0,0,0,1
93,"m",1,0,1,1,1,0,0,0
94,"m",0,1,1,1,0,0,1,0
95,"m",0,0,0,0,0,0,0,1
96,"m",1,1,1,1,1,1,0,1
97,"m",1,1,0,1,0,0,1,1
98,"m",0,1,0,1,0,0,1,1
99,"m",1,0,0,1,0,0,1,0
100,"m",1,0,0,1,1,1,0,1
101,"m",0,0,0,1,1,0,0,1
102,"m",0,1,0,1,0,0,0,0
103,"m",1,1,1,1,1,0,1,1
104,"m",0,1,1,1,0,0,1,1
105,"m",0,1,1,1,1,0,0,1
106,"m",1,1,1,1,1,0,1,0
107,"m",1,0,0,1,1,0,0,0
108,"m",0,1,1,0,0,0,0,1
109,"m",1,1,0,1,0,0,0,1
110,"m",0,1,0,1,0,0,0,1
111,"m",0,0,0,1,0,0,0,1
112,"m",0,1,1,1,1,0,1,1
113,"m",0,1,1,0,1,1,1,1
114,"m",0,0,0,1,0,0,1,1
115,"m",0,0,1,1,0,0,0,1
116,"m",1,1,1,1,1,0,1,1
117,"m",0,0,0,1,0,0,0,1
118,"m",1,0,0,1,1,0,1,1
119,"m",0,1,1,1,0,0,1,0
120,"m",0,1,0,0,0,0,0,0
121,"m",0,0,1,0,0,0,0,1
122,"m",1,1,1,1,1,0,0,1
123,"m",0,1,1,1,1,1,1,1
124,"m",1,1,1,1,1,1,1,1
125,"m",0,0,0,1,0,1,0,1
126,"m",1,0,0,1,1,1,1,1
127,"m",0,1,1,1,0,1,0,1
128,"m",0,0,0,1,1,0,0,1
129,"m",0,1,1,1,0,1,1,1
130,"m",0,0,0,1,1,0,0,1
131,"m",0,1,1,1,1,0,1,1
132,"m",0,1,1,1,1,0,1,1
133,"m",0,0,1,1,1,0,1,1
134,"m",0,0,0,1,0,0,0,1
135,"m",0,1,1,1,0,1,1,1
136,"m",1,1,1,1,0,0,1,1
137,"m",0,0,1,1,1,0,1,1
138,"m",0,0,0,0,0,0,0,0
139,"m",0,0,0,1,0,0,0,0
140,"m",0,0,1,1,1,1,1,1
141,"m",1,1,1,1,1,1,1,1
142,"m",0,1,0,1,1,0,0,0
143,"m",1,1,1,1,1,0,1,0
144,"m",0,1,1,1,1,0,1,1
145,"m",0,1,0,1,1,0,1,0
146,"m",0,1,0,1,0,0,1,1
147,"m",1,0,1,0,1,1,1,1
148,"m",1,0,0,1,1,1,1,1
149,"m",0,0,0,1,1,0,1,1
150,"m",1,1,1,1,0,1,0,1
151,"m",0,0,0,1,0,0,1,0
152,"m",0,0,0,1,0,0,1,0
153,"m",1,1,1,1,0,0,0,0
154,"m",1,1,0,1,1,0,0,1
155,"m",0,0,0,1,0,0,0,1
156,"m",0,0,1,1,1,0,1,1
157,"m",0,0,1,1,1,0,1,1
158,"m",1,1,0,1,0,0,0,1
159,"m",0,0,1,1,0,0,1,1
160,"m",0,0,1,0,0,0,0,1
161,"m",1,0,0,1,0,0,0,1
162,"m",0,1,0,1,1,0,1,1
163,"m",0,0,0,1,0,0,0,0
164,"m",1,1,1,1,1,1,1,1
165,"m",0,0,1,1,0,0,1,0
166,"m",1,1,1,1,0,1,1,1
167,"m",0,0,0,1,0,0,0,0
168,"m",0,1,1,1,0,0,1,1
169,"m",1,1,1,1,1,1,1,1
170,"m",0,0,1,1,0,0,0,1
171,"m",0,1,0,1,1,0,0,1
172,"m",0,1,1,1,0,0,1,0
173,"m",1,1,0,1,1,0,1,1
174,"m",0,1,1,1,1,0,0,0
175,"m",0,0,1,0,0,0,0,1
176,"m",0,1,0,1,0,1,0,1
177,"m",1,0,0,1,0,0,0,0
178,"m",0,0,0,0,0,0,0,0
179,"m",1,0,1,1,1,1,1,1
180,"m",0,1,0,1,0,0,0,0
181,"m",0,1,1,1,0,0,1,1
182,"m",0,0,0,0,0,0,1,0
183,"m",1,1,0,1,0,0,0,0
184,"m",0,1,0,0,1,0,0,1
185,"m",1,1,1,1,1,0,1,0
186,"m",1,1,1,1,1,1,1,1
187,"m",0,1,0,1,1,0,1,0
188,"m",1,0,0,1,0,0,0,1
189,"m",0,1,1,1,0,1,1,1
190,"m",1,0,1,1,0,1,1,1
191,"m",1,1,1,1,0,0,1,1
192,"m",0,0,0,1,0,0,0,0
193,"m",0,0,0,0,0,0,0,0
194,"m",1,1,0,1,0,0,1,0
195,"m",1,1,1,1,1,1,1,1
196,"m",1,1,1,1,1,0,1,1
197,"m",1,0,1,0,1,0,0,1
198,"m",1,0,0,1,0,0,0,0
199,"m",1,1,0,1,1,0,1,1
200,"m",0,0,0,1,0,0,1,1
201,"m",1,0,1,1,1,1,1,1
202,"m",0,0,0,1,1,0,1,0
203,"m",1,0,1,1,0,0,0,0
204,"m",0,0,1,1,0,0,1,1
205,"m",0,1,1,1,0,0,1,1
206,"m",0,0,1,1,0,0,1,0
207,"m",1,1,1,1,1,1,1,1
208,"m",1,1,1,1,1,0,1,1
209,"m",1,0,1,1,1,0,1,1
210,"m",1,1,1,1,1,0,1,1
211,"m",0,1,1,1,1,0,0,1
212,"m",0,0,0,1,0,0,0,1
213,"m",1,0,0,1,0,1,1,1
214,"m",1,0,0,1,0,0,0,1
215,"m",0,1,0,1,1,0,0,0
216,"m",0,0,0,1,0,0,1,1
217,"m",0,1,0,1,0,0,1,0
218,"m",0,1,1,1,0,0,1,0
219,"m",0,0,0,1,0,0,1,1
220,"m",0,0,1,1,0,0,0,1
221,"m",0,0,0,1,0,0,0,0
222,"m",0,0,0,1,1,0,0,1
223,"m",1,1,0,0,1,0,1,1
224,"m",0,1,0,1,0,0,1,1
225,"m",1,1,0,1,1,0,1,1
226,"m",0,0,1,1,0,0,1,1
227,"m",1,1,1,1,1,1,1,1
228,"m",1,0,0,1,1,0,1,1
229,"m",0,0,1,1,1,0,0,1
230,"m",0,1,0,1,0,0,0,1
231,"m",0,0,0,1,0,0,1,1
232,"m",0,0,1,1,1,0,0,1
233,"m",0,1,0,1,1,0,1,1
234,"m",0,1,0,1,1,1,0,1
235,"m",1,0,1,0,0,0,1,1
236,"m",0,0,0,1,1,0,1,1
237,"m",0,1,0,0,0,0,0,1
238,"m",0,1,1,1,0,0,0,1
239,"m",0,0,0,1,0,0,1,0
240,"m",1,0,0,1,0,0,0,0
241,"m",1,0,0,1,1,1,0,1
242,"m",0,0,0,1,0,0,0,0
243,"m",0,1,0,1,1,1,0,1
244,"m",0,1,0,1,0,0,1,1
245,"m",0,1,0,1,0,1,1,0
246,"m",0,1,0,1,1,0,1,1
247,"m",1,1,0,1,0,0,1,1
248,"m",1,0,1,1,1,0,1,0
249,"m",0,0,1,0,1,0,1,0
250,"m",1,1,1,1,1,1,1,1
251,"f",0,1,0,1,1,1,0,1
252,"f",0,0,1,1,0,0,1,1
253,"f",0,1,0,1,0,0,0,1
254,"f",0,1,0,0,1,0,0,1
255,"f",1,1,1,1,1,1,1,1
256,"f",0,0,0,0,0,0,1,1
257,"f",0,1,1,1,1,1,1,1
258,"f",0,0,1,1,0,0,0,0
259,"f",0,1,0,1,0,0,1,0
260,"f",1,1,0,1,1,1,1,1
261,"f",0,0,0,1,1,0,0,1
262,"f",0,1,0,1,0,0,1,1
263,"f",1,0,0,0,1,0,1,0
264,"f",0,1,1,1,1,0,0,0
265,"f",0,1,0,1,0,0,0,1
266,"f",0,1,0,1,1,0,0,0
267,"f",1,1,0,1,0,0,0,1
268,"f",1,1,0,1,1,0,1,1
269,"f",0,0,0,0,0,0,0,0
270,"f",1,0,0,0,0,0,0,1
271,"f",0,1,0,1,0,0,0,0
272,"f",0,0,0,1,0,0,0,0
273,"f",0,0,0,1,0,0,0,0
274,"f",0,0,1,1,1,0,0,1
275,"f",1,0,1,0,0,0,0,0
276,"f",1,1,1,1,0,0,0,1
277,"f",0,0,1,1,0,0,0,0
278,"f",1,0,1,1,0,0,1,1
279,"f",1,1,0,1,1,0,0,0
280,"f",0,0,0,1,1,0,1,1
281,"f",0,0,1,1,1,0,0,1
282,"f",0,0,0,0,0,0,1,0
283,"f",0,1,1,1,1,1,0,1
284,"f",0,0,1,1,0,0,0,1
285,"f",0,0,0,1,1,0,0,0
286,"f",1,0,0,1,1,0,0,1
287,"f",0,1,0,1,0,0,0,1
288,"f",0,0,0,0,0,0,0,0
289,"f",0,1,1,1,1,1,1,0
290,"f",0,1,0,1,1,0,1,0
291,"f",1,0,0,1,1,0,0,0
292,"f",0,0,1,0,1,0,1,1
293,"f",0,0,0,1,0,0,0,1
294,"f",0,0,0,1,0,0,0,0
295,"f",0,0,0,0,0,0,0,1
296,"f",1,0,1,1,0,0,0,0
297,"f",1,0,0,1,1,0,1,0
298,"f",1,1,1,1,1,0,1,1
299,"f",0,0,0,1,0,0,0,1
300,"f",0,0,0,1,0,0,0,0
301,"f",0,1,0,0,1,0,1,0
302,"f",0,0,0,1,0,0,1,1
303,"f",0,1,0,1,0,1,0,1
304,"f",0,0,0,1,0,0,1,1
305,"f",0,1,0,0,0,0,1,0
306,"f",1,1,0,1,1,0,0,1
307,"f",0,1,0,1,1,0,1,1
308,"f",0,1,1,1,1,0,1,0
309,"f",0,0,1,1,1,0,0,1
310,"f",1,1,1,1,0,0,1,1
311,"f",0,0,0,1,0,0,0,0
312,"f",0,0,0,0,0,0,0,1
313,"f",1,1,0,0,0,0,0,0
314,"f",0,0,0,0,0,0,1,1
315,"f",0,0,0,0,1,0,1,0
316,"f",1,0,1,1,1,1,1,0
317,"f",0,1,0,1,1,1,1,1
318,"f",0,1,0,0,1,0,0,1
319,"f",1,1,0,1,0,0,0,0
320,"f",0,0,0,1,0,1,0,1
321,"f",0,0,0,1,0,0,0,0
322,"f",0,0,1,1,0,0,1,1
323,"f",0,0,0,0,0,0,1,1
324,"f",1,0,0,1,0,0,0,1
325,"f",1,1,1,1,1,1,0,1
326,"f",0,0,0,1,1,0,0,1
327,"f",0,0,0,1,0,1,1,1
328,"f",1,1,0,1,0,0,1,1
329,"f",0,0,1,1,0,0,0,1
330,"f",1,1,0,1,0,0,1,0
331,"f",1,1,1,1,1,0,0,1
332,"f",0,1,1,1,0,1,1,1
333,"f",0,0,1,1,0,0,1,1
334,"f",0,0,0,1,1,1,1,1
335,"f",0,1,0,0,1,0,0,0
336,"f",0,0,1,0,0,0,0,1
337,"f",1,1,1,1,1,0,0,1
338,"f",0,0,0,0,0,0,0,0
339,"f",1,1,1,1,0,0,1,1
340,"f",1,0,0,1,0,0,1,1
341,"f",0,1,0,1,1,0,1,1
342,"f",0,0,0,1,0,0,0,1
343,"f",0,0,1,1,1,0,1,1
344,"f",0,0,0,1,1,1,0,1
345,"f",0,0,1,1,1,1,1,0
346,"f",1,0,0,1,0,0,1,1
347,"f",0,0,0,1,1,0,1,1
348,"f",0,1,1,1,0,0,1,1
349,"f",0,0,0,1,1,0,0,1
350,"f",1,0,0,1,1,0,1,1
351,"f",0,1,0,1,0,0,0,1
352,"f",0,0,1,1,1,0,1,1
353,"f",0,1,0,1,1,0,0,1
354,"f",0,0,0,0,0,0,0,0
355,"f",0,0,0,1,0,0,0,1
356,"f",0,0,0,1,1,0,1,1
357,"f",0,1,0,1,0,0,1,0
358,"f",1,1,1,1,1,1,0,1
359,"f",1,0,1,1,1,0,0,1
360,"f",0,1,0,0,1,0,0,0
361,"f",0,0,0,1,0,0,0,1
362,"f",1,1,0,1,1,0,1,1
363,"f",0,1,1,1,0,0,1,1
364,"f",1,1,0,1,1,0,0,0
365,"f",0,0,0,0,0,0,0,1
366,"f",1,0,0,1,0,0,0,1
367,"f",0,0,0,1,0,1,0,0
368,"f",1,1,0,1,1,0,1,1
369,"f",0,0,1,1,1,0,0,0
370,"f",1,1,1,1,1,0,0,1
371,"f",1,1,0,1,1,0,1,1
372,"f",0,1,1,1,0,1,1,1
373,"f",0,1,1,1,0,0,1,1
374,"f",1,0,1,1,0,0,1,1
375,"f",0,0,0,1,1,0,1,1
376,"f",0,0,0,1,1,1,0,0
377,"f",0,0,0,1,1,0,0,0
378,"f",0,0,0,1,0,0,0,0
379,"f",0,0,1,1,0,0,1,1
380,"f",0,0,0,0,0,0,0,0
381,"f",1,0,1,1,0,0,0,0
382,"f",0,0,0,1,0,0,0,1
383,"f",0,0,0,1,1,0,1,0
384,"f",0,0,0,0,0,0,1,0
385,"f",0,0,0,1,1,0,0,0
386,"f",0,1,1,1,1,0,0,1
387,"f",0,1,1,1,0,0,1,1
388,"f",0,0,1,1,0,1,0,0
389,"f",0,0,0,0,0,0,0,0
390,"f",1,1,1,1,0,0,1,1
391,"f",0,1,1,1,0,0,0,1
392,"f",0,0,0,1,1,1,0,1
393,"f",0,1,0,0,0,0,0,1
394,"f",0,0,1,1,0,1,1,1
395,"f",0,1,0,1,1,0,1,1
396,"f",1,1,1,1,1,0,0,1
397,"f",1,1,0,1,1,0,0,1
398,"f",0,0,0,0,0,0,0,1
399,"f",0,1,0,1,0,0,0,1
400,"f",1,1,1,1,1,0,1,1
401,"f",0,1,0,1,1,0,0,1
402,"f",0,1,0,1,0,0,0,1
403,"f",0,1,0,1,1,1,0,1
404,"f",0,0,0,1,1,0,0,0
405,"f",0,0,0,1,0,0,0,0
406,"f",1,1,1,1,1,0,0,1
407,"f",0,1,0,1,0,0,1,1
408,"f",1,1,0,1,0,0,0,1
409,"f",0,1,1,1,0,0,1,0
410,"f",0,0,0,1,0,0,0,1
411,"f",0,0,0,1,0,0,1,0
412,"f",1,1,0,1,1,0,1,1
413,"f",0,0,0,1,1,0,0,1
414,"f",1,1,0,1,1,0,0,0
415,"f",0,0,0,1,0,1,0,1
416,"f",1,0,1,1,1,0,1,1
417,"f",0,1,0,1,1,0,1,1
418,"f",1,1,1,1,1,1,0,1
419,"f",0,0,0,1,0,0,0,0
420,"f",1,1,0,1,1,0,1,0
421,"f",0,1,0,1,0,0,0,1
422,"f",0,1,0,1,0,0,1,1
423,"f",0,1,1,1,0,0,0,1
424,"f",0,0,0,0,0,0,0,0
425,"f",0,1,1,1,1,1,0,1
426,"f",1,1,0,1,0,1,1,1
427,"f",0,1,0,0,0,0,0,0
428,"f",0,0,1,1,1,0,0,0
429,"f",0,0,0,1,1,0,1,1
430,"f",1,1,0,1,0,0,1,1
431,"f",1,0,1,0,1,0,1,1
432,"f",0,0,1,1,0,0,1,0
433,"f",1,0,0,1,1,0,0,0
434,"f",0,1,1,1,1,0,0,1
435,"f",1,0,0,0,0,0,0,1
436,"f",0,1,0,1,0,0,0,0
437,"f",1,1,1,1,1,0,0,1
438,"f",0,0,0,1,0,0,0,0
439,"f",0,1,1,1,1,0,1,1
440,"f",0,0,1,1,1,0,1,1
441,"f",0,0,1,1,1,0,0,1
442,"f",1,1,1,1,1,0,0,0
443,"f",0,0,0,1,0,0,1,0
444,"f",0,0,0,1,1,0,0,1
445,"f",1,0,1,0,0,0,0,1
446,"f",1,1,0,1,1,0,0,1
447,"f",0,1,1,1,1,0,0,0
448,"f",1,1,0,1,1,0,1,1
449,"f",0,1,1,1,1,0,1,0
450,"f",0,0,1,1,1,0,0,1
451,"f",0,0,0,0,1,0,1,0
452,"f",0,0,0,1,0,0,0,0
453,"f",1,1,1,1,1,0,0,1
454,"f",0,0,1,1,0,1,0,0
455,"f",0,0,0,1,1,0,0,1
456,"f",0,1,0,1,0,1,1,1
457,"f",1,1,1,1,1,0,1,1
458,"f",1,1,0,1,1,0,0,1
459,"f",0,0,0,1,0,1,1,1
460,"f",0,0,0,1,0,0,0,1
461,"f",0,0,0,0,1,0,0,0
462,"f",0,1,1,1,1,1,1,1
463,"f",0,0,0,1,0,0,0,1
464,"f",0,1,0,1,0,0,0,1
465,"f",0,0,1,1,1,1,0,0
466,"f",0,1,0,1,0,0,1,0
467,"f",0,0,1,1,1,0,1,1
468,"f",0,0,0,0,1,0,1,0
469,"f",0,1,0,1,1,0,0,1
470,"f",1,0,1,1,0,0,0,1
471,"f",1,1,1,1,1,0,1,1
472,"f",1,0,0,1,0,0,0,1
473,"f",0,0,0,1,0,0,0,1
474,"f",0,0,0,0,0,0,0,1
475,"f",0,1,0,1,1,0,1,1
476,"f",0,0,0,1,0,0,1,1
477,"f",0,0,1,0,0,0,0,0
478,"f",0,0,1,1,1,0,1,1
479,"f",1,0,1,0,1,0,0,0
480,"f",0,0,0,1,1,0,1,1
481,"f",1,0,0,1,1,1,1,1
482,"f",0,1,0,1,0,1,0,1
483,"f",0,1,0,1,1,0,0,1
484,"f",1,0,0,1,1,0,1,1
485,"f",1,0,0,0,0,0,0,0
486,"f",1,1,0,1,1,1,0,1
487,"f",0,0,0,1,0,0,1,0
488,"f",0,0,0,1,0,0,0,1
489,"f",0,0,0,1,0,1,0,0
490,"f",0,0,0,1,1,0,1,1
491,"f",1,1,0,1,1,1,0,1
492,"f",0,1,1,1,1,0,1,0
493,"f",1,1,1,1,0,0,1,0
494,"f",0,0,0,1,1,0,1,1
495,"f",0,0,0,1,0,0,1,0
496,"f",0,1,0,1,1,0,0,0
497,"f",0,1,0,1,0,0,0,1
498,"f",1,0,1,1,0,0,0,1
499,"f",1,1,1,1,1,1,1,1
500,"f",1,1,1,1,1,1,1,1
